FID,the_geom,FIELD_ID,FLD_NAME,FLD_NAME2,REG_CODE,REG_NAME,COUNTRY,STATE,LAT_DD,LON_DD,LOC_ACCY,ON_OFF_LOC,DISC_YR,FIELD_TYPE,SIZE_CLASS,EUR_MMBOE,RSVS_MMBOE,EURO_MMBO,EURG_TCFG,EURC_MMBO,HL10_MMBOE,HL20_MMBOE,HL50_MMBOE,PRV_USGS_C,PRV_USGS_N,BSN_TELL_C,BSN_TELL_N,BSN_BALLY,RSVR_NAME,RSVR_LITH1,RSVR_LITH2,ERA,SYSTEM,SERIES,STAGE,AGE_CODE,RSVR_DEPFT,RSVR_DEPKM,TRAP_CLASS,TRAP_TYPE,TRAP_DESC,REFERENCES,COMMENTS
giant_oil_and_gas_fields_of_the_world_co_yxz.269,POINT (54.015544 24.242322),267,Al Dabb'iya,,E,MIDDLE EAST,UAE,UAE - Abu Dhabi,24.242322,54.015544,A,Offshore,1969,Oil,Giant,1700,567.487,1700,-99999.99,-99999.99,150.338,505.543,1046.581,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,-99999.99,-99999.99,Structural,,,"3, 38, 626, 1145",
giant_oil_and_gas_fields_of_the_world_co_yxz.270,POINT (53.7 24.45),268,Mubarraz,,E,MIDDLE EAST,UAE,UAE - Abu Dhabi,24.45,53.7,B,Offshore,1969,Oil,Giant,2000,667.632,2000,-99999.99,-99999.99,176.868,594.757,1231.271,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,9000,2.74,Structural,,,2,
giant_oil_and_gas_fields_of_the_world_co_yxz.271,POINT (50.221875 30.002272),269,Binak,,E,MIDDLE EAST,Iran,,30.002272,50.221875,A,Onshore,1960,Oil,Giant,1012,272.748,1012,-99999.99,-99999.99,47.966,220.321,549.959,2030,Zagros Fold Belt,BS000000039,ZAGROS FOLDBELT,TYPE 2,,CARBONATE,,Mesozoic,Cretaceous,,,MZ_CT,-99999.99,-99999.99,Structural,,,"1, 38, 545, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.272,POINT (-93.362089 17.658136),270,Rio Nuevo,,A,NORTH AMERICA,Mexico,Mexico - Chiapas,17.658136,-93.362089,A,Onshore,1975,Oil,Giant,500,194.858,500,-99999.99,-99999.99,67.014,183.05,334.51,5305,Villahermosa Uplift,BS000000264,SALINAS - SURESTE,TYPE 2,,CARBONATE,dolomite,Mesozoic,Cretaceous,,,MZ_CT,14000,4.27,Structural,,,"2, 436",
giant_oil_and_gas_fields_of_the_world_co_yxz.273,POINT (54.30778 25.5),271,Fateh Southwest,,E,MIDDLE EAST,UAE,UAE - Dubai,25.5,54.30778,B,Offshore,1970,Oil,Giant,1142.45,391.049,1142.45,-99999.99,-99999.99,108.281,351.718,713.149,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,7839,2.39,Structural,,,"2, 3, 628",
giant_oil_and_gas_fields_of_the_world_co_yxz.274,POINT (47.822547 31.295236),272,Azadegan,,E,MIDDLE EAST,Iran,,31.295236,47.822547,A,Onshore,1999,Oil,Giant,4893.533,4047.169,4560.2,2,-99999.99,3460.505,4115.106,4565.895,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 2,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,10089,3.08,Structural,,,"4, 647, 875",
giant_oil_and_gas_fields_of_the_world_co_yxz.275,POINT (47.991667 31.05),273,Yadavaran,"Two former fields, Koushk and Hosseinieh",E,MIDDLE EAST,Iran,,31.05,47.991667,B,Onshore,2001,Oil,Giant,3166.667,3073.667,3000,1,-99999.99,2572.246,2854.023,3037.697,2024,Mesopotamian Foredeep Basin,BS000000038,WIDYAN - NORTH ARABIAN GULF,TYPE 2,,CARBONATE,limestone,Mesozoic,Cretaceous,,,MZ_CT,9275,2.83,Structural,,,"5, 1055, 1085, 1094",
giant_oil_and_gas_fields_of_the_world_co_yxz.276,POINT (54.042786 22.551783),274,Shaybah,,E,MIDDLE EAST,Saudi Arabia,,22.551783,54.042786,A,Onshore,1968,Oil,Supergiant,21500,7001.299,21500,-99999.99,-99999.99,1774.028,6175.89,13053.978,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,-99999.99,-99999.99,Structural,,,"1, 2, 38, 546, 547, 901, 935, 1145",
giant_oil_and_gas_fields_of_the_world_co_yxz.277,POINT (53 26),275,Rostam,,E,MIDDLE EAST,Iran,,26,53,B,Offshore,1967,Oil,Giant,1000,317.754,1000,-99999.99,-99999.99,76.988,277.468,598.805,2019,Rub Al Khali Basin,BS000000033,RUB AL KHALI,TYPE 1,,CARBONATE,,Mesozoic,Jurassic,Middle Jurassic,,MZ_JR_M,-99999.99,-99999.99,Structural,,,"1, 545, 628",
giant_oil_and_gas_fields_of_the_world_co_yxz.278,POINT (51.333333 53.25),276,Dmitriyevskoye,Samara,D,EASTERN EUROPE AND FORMER USSR,Russia,,53.25,51.333333,B,Onshore,1939,Oil,Giant,500,87.071,500,-99999.99,-99999.99,5.53,52.581,203.102,1015,Volga-Ural Region,BS000000801,VOLGA - URALS,TYPE 2,,CARBONATE,limestone,Paleozoic,Devonian,Middle Devonian,,PZ_DV_M,-99999.99,-99999.99,Structural,,,38,
giant_oil_and_gas_fields_of_the_world_co_yxz.279,POINT (3.45 56.25),277,Valhall,,C,WESTERN EUROPE,Norway,,56.25,3.45,B,Offshore,1969,Oil,Giant,1013.562,338.343,832.02,1.089,0,89.633,301.412,623.985,4025,North Sea Graben,BS000000488,CENTRAL GRABEN,TYPE 1,,CARBONATE,redeposited chalk,Mesozoic,Cretaceous,Upper Cretaceous,,MZ_CT_U,7874,2.4,Combination,,Structural /stratigraphic,"3, 38, 87, 90, 513, 882",
giant_oil_and_gas_fields_of_the_world_co_yxz.280,POINT (52 26.6),278,Al Shaheen,,E,MIDDLE EAST,Qatar,,26.6,52,B,Offshore,1992,Oil,Giant,1323,856.395,1323,-99999.99,-99999.99,575.971,872.932,1120.284,2022,Qatar Arch,BS000000033,RUB AL KHALI,TYPE 1,Kharaib,CARBONATE,low-permeability carbonates,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,3608,1.1,Structural,Anticline,Structural crest,"733, 1145, 1148, 1149, 1150",
giant_oil_and_gas_fields_of_the_world_co_yxz.281,POINT (3.166667 56.483333),279,Edda,,C,WESTERN EUROPE,Norway,,56.483333,3.166667,B,Offshore,1969,Gas,Giant,1068,356.515,68,6,-99999.99,94.447,317.6,657.499,4025,North Sea Graben,BS000000488,CENTRAL GRABEN,TYPE 1,,CARBONATE,chalk,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,-99999.99,-99999.99,Structural,Fractures,Structural/Fractured,"2, 525",
giant_oil_and_gas_fields_of_the_world_co_yxz.282,POINT (3.083333 56.55),280,West Ekofisk,,C,WESTERN EUROPE,Norway,,56.55,3.083333,B,Offshore,1969,Oil,Giant,754.5,251.864,390,2.187,-99999.99,66.723,224.372,464.497,4025,North Sea Graben,BS000000488,CENTRAL GRABEN,TYPE 1,,CARBONATE,chalk,Cenozoic,Paleogene,Paleocene,,CZ_PG_PAL,-99999.99,-99999.99,Structural,Fractures,Structural/Fractured,"2, 88",
giant_oil_and_gas_fields_of_the_world_co_yxz.283,POINT (3.083333 56.666667),281,Albuskjell,,C,WESTERN EUROPE,Norway,,56.666667,3.083333,B,Offshore,1972,Oil,Giant,570.333,205.434,172,2.39,-99999.99,62.092,188.184,366.025,4025,North Sea Graben,BS000000488,CENTRAL GRABEN,TYPE 1,,CARBONATE,chalk,Mesozoic,Cretaceous,Lower Cretaceous,,MZ_CT_L,-99999.99,-99999.99,Structural,Fractures,Structural/Fractured,"2, 511, 512",
giant_oil_and_gas_fields_of_the_world_co_yxz.284,POINT (11.5 32.62324),282,Isis,,F,AFRICA,Tunisia,,32.62324,11.5,B,Onshore,1976,Oil,Giant,1000,400.337,1000,-99999.99,-99999.99,143.646,379.007,678.358,2048,Pelagian Basin,BS000000011,PELAGIAN,TYPE 1,,CARBONATE,limestone,Mesozoic,Cretaceous,Upper Cretaceous,,MZ_CT_U,-99999.99,-99999.99,Combination,,Structural/stratigraphic,"2, 620",
